time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-13 18:01:04.165936,1084227584,1017370378,30000,1,0,1,8308,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,8200,17176,7328,8464,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:04.664903,1084227584,1017370378,30000,1,0,1,8308,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,8256,17200,7328,8480,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:05.160899,1084227584,1017370378,30000,1,0,1,8308,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,8312,17200,7328,8480,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15864,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:05.659893,1084227584,1017370378,30000,1,0,1,8308,1,8528,8584,3688,11520,1118437376,1119092736,0,6936,8384,17232,7328,8480,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:06.155995,1084227584,1017370378,30000,1,0,1,8308,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,8472,17232,7328,8480,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:06.654067,1084227584,1017370378,30000,1,0,1,8308,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,8528,17232,7328,8464,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:07.154340,1084227584,1017370378,30000,1,0,1,8308,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,8608,17232,7328,8488,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:07.652996,1084227584,1017370378,30000,1,0,1,8308,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,8696,17232,7328,8464,11376,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:08.151383,1084227584,1017370378,30000,1,0,1,8308,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,8776,17256,7328,8480,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15896,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:08.652133,1084227584,1017370378,30000,1,0,1,8308,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,8856,17256,7328,8472,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:09.150187,1084227584,1017370378,30000,1,0,1,8308,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,8968,17256,7328,8480,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:09.648383,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,9024,17256,7328,8488,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:10.148451,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3720,11528,1118437376,1119092736,0,6936,9136,17256,7328,8464,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:10.646465,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,9224,17256,7328,8488,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:11.144709,1084227584,1017370378,30000,1,0,1,8305,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,9328,17256,7328,8472,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:11.644880,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,9440,17256,7328,8480,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:12.145551,1084227584,1017370378,30000,1,0,1,8305,1,8552,8584,3720,11528,1118437376,1119092736,0,6936,9608,17256,7328,8472,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:12.645543,1084227584,1017370378,30000,1,0,1,8305,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,9720,17256,7328,8472,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:13.146454,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,9800,17256,7328,8488,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:13.643194,1084227584,1017370378,30000,1,0,1,8305,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,9912,17256,7328,8480,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:14.144045,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3704,11528,1118437376,1119092736,0,6936,9912,17288,7328,8480,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:14.642057,1084227584,1017370378,30000,1,0,1,8305,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,9912,17288,7328,8488,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:15.142057,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,9912,17288,7328,8464,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:15.644332,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,9912,17312,7328,8480,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:16.206259,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3712,11528,1118437376,1119092736,0,6936,9912,17312,7328,8480,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:16.704860,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,10296,17312,7328,8488,11376,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:17.202883,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,11136,17312,7328,8488,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:17.701815,1084227584,1017370378,30000,1,0,1,8305,1,8528,8584,3688,11520,1118437376,1119092736,0,6936,11240,17344,7328,8488,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:18.200395,1084227584,1017370378,30000,1,0,1,8305,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,11328,17344,7328,8488,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:18.698877,1084227584,1017370378,30000,1,0,1,8303,1,8528,8584,3688,11520,1118437376,1119092736,0,6936,11504,17344,7328,8480,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:19.196891,1084227584,1017370378,30000,1,0,1,8303,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,11608,17344,7328,8480,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:19.695036,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3688,11528,1118437376,1119092736,0,6936,11736,17368,7328,8464,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:20.193194,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3688,11528,1118437376,1119092736,0,6936,11848,17376,7328,8480,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:20.693647,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3688,11528,1118437376,1119092736,0,6936,11960,17400,7328,8464,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:21.191829,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3688,11528,1118437376,1119092736,0,6936,11960,17400,7328,8480,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:21.690433,1084227584,1017370378,30000,1,0,1,8303,1,8528,8552,3688,11528,1118437376,1119092736,0,6936,12080,17400,7344,8464,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:22.191198,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3688,11528,1118437376,1119092736,0,6936,12264,17400,7328,8456,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:22.692142,1084227584,1017370378,30000,1,0,1,8303,1,8528,8552,3688,11528,1118437376,1119092736,0,6936,12352,17400,7328,8464,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:23.190412,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3688,11528,1118437376,1119092736,0,6936,12464,17400,7328,8456,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:23.688399,1084227584,1017370378,30000,1,0,1,8303,1,8528,8552,3688,11528,1118437376,1119092736,0,6936,12552,17400,7328,8480,11376,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15864,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:24.184904,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3688,11520,1118437376,1119092736,0,6936,12680,17400,7328,8464,11376,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:24.683684,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3720,11528,1118437376,1119092736,0,6912,12768,17400,7328,8480,11376,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:25.180669,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3720,11528,1118437376,1119092736,0,6936,12904,17400,7328,8464,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:25.680791,1084227584,1017370378,30000,1,0,1,8303,1,8552,8552,3688,11528,1118437376,1119092736,0,6936,12992,17400,7328,8464,11376,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:26.179605,1084227584,1017370378,30000,1,0,1,8303,1,8528,8552,3688,11528,1118437376,1119092736,0,6936,13104,17400,7328,8456,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:26.677950,1084227584,1017370378,30000,1,0,1,8303,1,8552,8584,3688,11528,1118437376,1119092736,0,6936,13160,17416,7328,8464,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:27.176233,1084227584,1017370378,30000,1,0,1,8303,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,13288,17416,7352,8480,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:01:27.673121,1084227584,1017370378,30000,1,0,1,8303,1,8528,8584,3688,11528,1118437376,1119092736,0,6936,13376,17416,7352,8472,11376,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
