time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-09 11:22:08.540742,1084227584,1017370378,30000,1,0,1,8084,1,8144,8192,4248,11528,1118437376,1119092736,0,7336,16976,18280,7656,8456,10776,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1557,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:09.042833,1084227584,1017370378,30000,1,0,1,8084,1,8144,8192,4248,11528,1118437376,1119092736,0,7336,16960,18280,7656,8448,10768,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:09.547364,1084227584,1017370378,30000,1,0,1,8084,1,8144,8192,4248,11528,1118437376,1119092736,0,7352,16912,18280,7656,8456,10760,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15904,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:10.045356,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4248,11528,1118437376,1119092736,0,7352,16872,18280,7656,8456,10760,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15904,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:10.545347,1084227584,1017370378,30000,1,0,1,8082,1,8144,8184,4248,11528,1118437376,1119092736,0,7336,16840,18280,7656,8456,10768,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:11.046175,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4248,11528,1118437376,1119092736,0,7352,16816,18280,7656,8456,10760,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15896,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:11.546468,1084227584,1017370378,30000,1,0,1,8082,1,8136,8192,4272,11528,1118437376,1119092736,0,7352,16792,18280,7656,8440,10760,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:12.046763,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4272,11528,1118437376,1119092736,0,7352,16760,18136,7656,8456,10760,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15856,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:12.545455,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4272,11528,1118437376,1119092736,0,7352,16728,18136,7656,8440,10760,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:13.046199,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4272,11528,1118437376,1119092736,0,7336,16704,18104,7656,8456,10760,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1421,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:13.545763,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4272,11528,1118437376,1119092736,0,7352,16648,18080,7656,8440,10744,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15856,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:14.045993,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4248,11528,1118437376,1119092736,0,7352,16616,18080,7656,8456,10752,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:14.546136,1084227584,1017370378,30000,1,0,1,8082,1,8144,8184,4248,11528,1118437376,1119092736,0,7352,16584,18056,7656,8448,10744,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1418,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:15.046650,1084227584,1017370378,30000,1,0,1,8082,1,8136,8192,4248,11528,1118437376,1119092736,0,7352,16528,18056,7656,8440,10744,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1413,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:15.547528,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4248,11528,1118437376,1119092736,0,7352,16504,18024,7656,8440,10736,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15864,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:16.046051,1084227584,1017370378,30000,1,0,1,8082,1,8136,8184,4248,11528,1118437376,1119092736,0,7344,16504,18024,7656,8440,10736,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1546,15816,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:16.545657,1084227584,1017370378,30000,1,0,1,8082,1,8144,8184,4248,11528,1118437376,1119092736,0,7352,16480,18000,7656,8456,10736,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1850,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 11:22:17.045958,1084227584,1017370378,30000,1,0,1,8082,1,8144,8192,4272,11528,1118437376,1119092736,0,7344,16480,18000,7656,8448,10736,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1888,15856,0,1,0,0,65512,0,0,1,0,1,1,Normal
