time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-08 20:11:15.153936,1084227584,1017370378,30000,1,0,1,8966,1,8192,8272,3192,11520,1118437376,1119092736,1,6936,15088,14920,7464,7800,10872,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:15.652874,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11520,1118437376,1119092736,1,6936,15088,14920,7464,7800,10872,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:16.149799,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11520,1118437376,1119092736,1,6936,15016,14888,7464,7816,10840,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:16.648711,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11528,1118437376,1119092736,1,6936,15016,14888,7464,7800,10840,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:17.149675,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11520,1118437376,1119092736,1,6936,15016,14888,7464,7816,10840,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:17.648051,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11520,1118437376,1119092736,1,6936,14984,14864,7440,7800,10840,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:18.146889,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11520,1118437376,1119092736,1,6936,14960,14864,7464,7800,10840,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:18.647687,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11528,1118437376,1119092736,1,6936,14960,14864,7464,7800,10840,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:19.148292,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11520,1118437376,1119092736,1,6968,14960,14832,7440,7800,10840,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:19.644308,1084227584,1017370378,30000,1,0,1,8966,1,8200,8240,3192,11520,1118437376,1119092736,1,6936,14960,14832,7440,7816,10840,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:20.144523,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3224,11520,1118437376,1119092736,1,6936,14960,14800,7440,7800,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:20.645278,1084227584,1017370378,30000,1,0,1,8966,1,8200,8240,3216,11520,1118437376,1119092736,1,6936,14960,14808,7440,7816,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:21.145338,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11520,1118437376,1119092736,1,6936,14904,14800,7440,7800,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16072,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:21.644285,1084227584,1017370378,30000,1,0,1,8966,1,8200,8240,3192,11520,1118437376,1119092736,1,6936,14904,14776,7440,7816,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16072,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:22.146989,1084227584,1017370378,30000,1,0,1,8966,1,8200,8240,3192,11520,1118437376,1119092736,1,6936,14904,14776,7440,7800,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16072,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:22.645156,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11528,1118437376,1119092736,1,6968,14904,14752,7440,7808,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:23.145926,1084227584,1017370378,30000,1,0,1,8966,1,8200,8240,3192,11520,1118437376,1119092736,1,6968,14872,14744,7440,7816,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:23.646714,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11528,1118437376,1119092736,1,6968,14872,14752,7440,7800,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:24.145194,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11520,1118437376,1119092736,1,6936,14848,14744,7440,7808,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:24.645570,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11528,1118437376,1119092736,1,6936,14848,14752,7440,7808,10824,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 20:11:25.146045,1084227584,1017370378,30000,1,0,1,8966,1,8192,8240,3192,11528,1118437376,1119092736,1,6936,14848,14744,7440,7800,10832,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
