time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-03-30 20:03:18.436576,1084227584,1017370378,30000,1,0,1,8001,1,6872,6864,4216,11520,1118437376,1119092736,0,6384,6896,7880,6576,8496,12128,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15904,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:18.937037,1084227584,1017370378,30000,1,0,1,8001,1,6872,6864,4216,11520,1118437376,1119092736,0,6384,6896,7880,6576,8480,12136,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15912,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:19.437226,1084227584,1017370378,30000,1,0,1,8001,1,6896,6864,4216,11520,1118437376,1119092736,0,6384,6896,7880,6544,8480,12136,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15928,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:19.937570,1084227584,1017370378,30000,1,0,1,8001,1,6872,6864,4216,11520,1118437376,1119092736,0,6384,6896,7880,6568,8488,12144,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15928,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:20.436124,1084227584,1017370378,30000,1,0,1,8001,1,6872,6888,4216,11520,1118437376,1119092736,0,6384,6896,7912,6544,8488,12144,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15912,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:20.936475,1084227584,1017370378,30000,1,0,1,8001,1,6872,6888,4216,11520,1118437376,1119092736,0,6360,6896,7936,6544,8504,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15904,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:21.436932,1084227584,1017370378,30000,1,0,1,8001,1,6872,6864,4216,11520,1118437376,1119092736,0,6384,6896,7936,6544,8480,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15912,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:21.937575,1084227584,1017370378,30000,1,0,1,8001,1,6864,6864,4216,11520,1118437376,1119092736,0,6360,6896,7968,6544,8504,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15920,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:22.435887,1084227584,1017370378,30000,1,0,1,8001,1,6864,6864,4216,11520,1118437376,1119092736,0,6384,6896,7968,6544,8488,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15896,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:22.936394,1084227584,1017370378,30000,1,0,1,8001,1,6872,6864,4216,11520,1118437376,1119092736,0,6384,6896,7968,6544,8488,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15904,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:23.436527,1084227584,1017370378,30000,1,0,1,8001,1,6872,6888,4216,11520,1118437376,1119092736,0,6384,6896,7968,6544,8488,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15904,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:23.936898,1084227584,1017370378,30000,1,0,1,8001,1,6864,6864,4216,11520,1118437376,1119092736,0,6360,6896,7968,6544,8496,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15920,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:24.437431,1084227584,1017370378,30000,1,0,1,8001,1,6864,6888,4216,11520,1118437376,1119092736,0,6384,6896,7992,6560,8504,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15928,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-30 20:03:24.937687,1084227584,1017370378,30000,1,0,1,8001,1,6864,6864,4216,11520,1118437376,1119092736,0,6360,6872,7992,6568,8504,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15944,0,1,0,0,65512,0,0,1,0,1,1,Normal
