time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-08 19:41:26.649158,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4440,11520,1118437376,1119092736,0,6864,21432,19872,7376,8480,12160,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:27.147928,1084227584,1017370378,30000,1,0,1,7974,1,8192,8528,4440,11520,1118437376,1119092736,0,6864,21432,19904,7408,8496,12160,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:27.644764,1084227584,1017370378,30000,1,0,1,7974,1,8168,8496,4440,11520,1118437376,1119092736,0,6864,21408,19872,7408,8488,12160,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:28.142806,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4440,11520,1118437376,1119092736,0,6864,21432,19872,7376,8504,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:28.641559,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4440,11520,1118437376,1119092736,0,6864,21432,19872,7400,8488,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:29.139566,1084227584,1017370378,30000,1,0,1,7974,1,8176,8496,4440,11520,1118437376,1119092736,0,6864,21408,19896,7408,8480,12152,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:29.639839,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4440,11520,1118437376,1119092736,0,6864,21408,19872,7376,8488,12144,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:30.137888,1084227584,1017370378,30000,1,0,1,7974,1,8192,8520,4408,11520,1118437376,1119092736,0,6864,21432,19872,7376,8488,12144,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:30.636431,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4440,11520,1118437376,1119092736,0,6864,21432,19904,7408,8488,12144,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:31.136515,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4432,11520,1118437376,1119092736,0,6864,21408,19872,7408,8488,12128,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:31.635343,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4440,11520,1118437376,1119092736,0,6864,21432,19872,7408,8488,12128,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:32.134918,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4440,11520,1118437376,1119092736,0,6864,21432,19872,7408,8488,12120,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15888,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:32.633603,1084227584,1017370378,30000,1,0,1,7974,1,8168,8496,4440,11520,1118437376,1119092736,0,6864,21432,19896,7400,8480,12120,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15872,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:41:33.132399,1084227584,1017370378,30000,1,0,1,7974,1,8192,8496,4440,11520,1118437376,1119092736,0,6864,21432,19904,7408,8480,12120,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
