time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2021-12-10 20:08:06.800477,1084227584,1017370378,30000,1,0,1,9370,1,5776,5808,2992,11296,1118437376,1119092736,1,4448,12984,13864,5856,8088,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:07.304986,1084227584,1017370378,30000,1,0,1,9375,1,5752,5824,2992,11296,1118437376,1119092736,1,4448,12984,13864,5856,8088,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:07.803756,1084227584,1017370378,30000,1,0,1,9381,1,5752,5808,2992,11296,1118437376,1119092736,1,4448,12984,13840,5856,8088,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:08.314668,1084227584,1017370378,30000,1,0,1,9386,1,5752,5824,2992,11296,1118437376,1119092736,1,4416,12960,13840,5824,8088,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:08.819369,1084227584,1017370378,30000,1,0,1,9392,1,5752,5808,2984,11296,1118437376,1119092736,1,4448,12984,13840,5824,8080,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:09.320193,1084227584,1017370378,30000,1,0,1,9398,1,5784,5824,2880,11296,1118437376,1119092736,1,4448,12960,13840,5824,8096,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:09.816194,1084227584,1017370378,30000,1,0,1,9403,1,5752,5824,2856,11296,1118437376,1119092736,1,4448,12960,13840,5824,8096,11368,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:10.312194,1084227584,1017370378,30000,1,0,1,9411,1,5752,5856,2856,11296,1118437376,1119092736,1,4472,12984,13840,5856,8088,11376,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16112,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:10.810919,1084227584,1017370378,30000,1,0,1,9417,1,5752,5824,2856,11296,1118437376,1119092736,1,4448,12984,13840,5856,8104,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:11.309624,1084227584,1017370378,30000,1,0,1,9422,1,5752,5808,2824,11296,1118437376,1119092736,1,4448,12960,13840,5856,8088,11384,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:11.809657,1084227584,1017370378,30000,1,0,1,9425,1,5752,5824,2824,11520,1118437376,1119092736,1,4448,12960,13808,5824,8112,11392,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:12.309345,1084227584,1017370378,30000,1,0,1,9425,1,5784,5808,2856,11520,1118437376,1119092736,1,4448,12960,13808,5856,8088,11400,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:12.808101,1084227584,1017370378,30000,1,0,1,9425,1,5752,5808,2856,11520,1118437376,1119092736,1,4448,12944,13784,5856,8104,11400,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:13.305598,1084227584,1017370378,30000,1,0,1,9425,1,5752,5808,2856,11520,1118437376,1119092736,1,4448,12936,13784,5856,8104,11400,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:13.801450,1084227584,1017370378,30000,1,0,1,9425,1,5752,5808,2856,11520,1118437376,1119092736,1,4472,12936,13752,5856,8112,11400,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:14.303456,1084227584,1017370378,30000,1,0,1,9425,1,5752,5824,2856,11520,1118437376,1119092736,1,4440,12904,13784,5856,8120,11400,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:14.805922,1084227584,1017370378,30000,1,0,1,9425,1,5752,5824,2856,11520,1118437376,1119092736,1,4448,12936,13752,5856,8104,11408,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:15.304197,1084227584,1017370378,30000,1,0,1,9425,1,5784,5808,2856,11520,1118437376,1119092736,1,4448,12936,13752,5824,8128,11408,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:15.802177,1084227584,1017370378,30000,1,0,1,9425,1,5752,5808,2824,11520,1118437376,1119092736,1,4448,12904,13752,5856,8112,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:16.300980,1084227584,1017370378,30000,1,0,1,9425,1,5784,5808,2856,11520,1118437376,1119092736,1,4432,12904,13752,5856,8128,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:16.799942,1084227584,1017370378,30000,1,0,1,9425,1,5784,5824,2824,11520,1118437376,1119092736,1,4480,12904,13752,5824,8120,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:08:17.297929,1084227584,1017370378,30000,1,0,1,9425,1,5752,5824,2856,11520,1118437376,1119092736,1,4448,12904,13752,5856,8136,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
