time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2021-12-10 20:45:41.551198,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4672,18192,17936,5880,8232,11984,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,24380,15896,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:42.051133,1084227584,1017370378,30000,1,0,1,8278,1,5728,6048,3856,11520,1118437376,1119092736,0,4672,18192,17880,5880,8192,11976,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,23841,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:42.549684,1084227584,1017370378,30000,1,0,1,8278,1,5728,6048,3856,11520,1118437376,1119092736,0,4672,18136,17864,5880,8176,11976,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,23658,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:43.047387,1084227584,1017370378,30000,1,0,1,8278,1,5696,6048,3856,11520,1118437376,1119092736,0,4672,18112,17856,5880,8136,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,24253,15776,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:43.545639,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4672,18056,17808,5880,8128,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,25268,15760,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:44.043595,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4672,18056,17768,5880,8096,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,26841,15704,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:44.545571,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4672,18000,17720,5880,8080,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,27648,15696,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:45.047233,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4672,17968,17704,5880,8048,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,27648,15760,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:45.548220,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4672,17920,17664,5856,8024,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,27648,15760,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:46.046936,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4672,17896,17616,5880,8016,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,27634,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:46.549560,1084227584,1017370378,30000,1,0,1,8278,1,5752,6024,3856,11520,1118437376,1119092736,0,4672,17864,17584,5880,8000,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,27261,15896,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:47.050019,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4672,17840,17552,5880,8000,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,26337,15928,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:47.548295,1084227584,1017370378,30000,1,0,1,8278,1,5728,6024,3856,11520,1118437376,1119092736,0,4640,17784,17528,5880,7984,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,25331,15912,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:48.049224,1084227584,1017370378,30000,1,0,1,8278,1,5752,6000,3856,11520,1118437376,1119092736,0,4672,17784,17472,5880,7992,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,24474,15904,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-10 20:45:48.549238,1084227584,1017370378,30000,1,0,1,8278,1,5696,6024,3856,11520,1118437376,1119092736,0,4672,17784,17440,5856,7968,11960,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,23822,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
