time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2021-12-09 16:12:28.302796,1084227584,1017370378,30000,1,0,1,8137,1,6552,6800,4024,11760,1118437376,1119092736,0,5616,17752,18048,6016,8392,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:28.803517,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11760,1118437376,1119092736,0,5584,17784,18048,6016,8392,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:29.301726,1084227584,1017370378,30000,1,0,1,8129,1,6552,6776,4024,11520,1118437376,1119092736,0,5584,17808,18048,6016,8392,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:29.803743,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,17840,18048,6016,8392,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:30.303738,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4040,11520,1118437376,1119092736,0,5584,17840,18048,6016,8392,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16024,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:30.803458,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,17920,18048,6016,8392,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:31.302400,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5616,17920,18080,6016,8392,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:31.804422,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,17936,18104,6016,8424,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:32.302603,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5616,17936,18104,6016,8416,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:32.803565,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5608,17968,18136,6016,8424,12456,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:33.303682,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,17968,18136,6016,8408,12472,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:33.803905,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,18000,18144,6016,8424,12464,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:34.302598,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,17968,18136,6016,8416,12472,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:34.802761,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,17968,18160,6016,8416,12472,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16024,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:35.303602,1084227584,1017370378,30000,1,0,1,8129,1,6552,6832,4056,11520,1118437376,1119092736,0,5584,18000,18160,6016,8424,12480,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:35.803592,1084227584,1017370378,30000,1,0,1,8129,1,6552,6832,4024,11520,1118437376,1119092736,0,5584,18056,18160,6016,8424,12472,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:36.303635,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,18080,18160,6016,8432,12480,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:36.803654,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5608,18112,18160,6016,8408,12480,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:37.304064,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,18112,18160,6016,8432,12480,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:37.804530,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5608,18168,18160,6016,8416,12488,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:38.304533,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,18192,18160,5984,8424,12480,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16024,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:38.805459,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,18192,18192,6016,8408,12488,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16024,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:39.305447,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5592,18232,18216,6016,8424,12488,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16024,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:39.805449,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5584,18280,18216,6016,8416,12496,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:40.304266,1084227584,1017370378,30000,1,0,1,8129,1,6552,6832,4056,11520,1118437376,1119092736,0,5584,18264,18192,6016,8408,12488,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:40.804612,1084227584,1017370378,30000,1,0,1,8129,1,6552,6800,4024,11520,1118437376,1119092736,0,5608,18304,18192,6016,8416,12488,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:41.304367,1084227584,1017370378,30000,1,0,1,8129,1,6552,6832,4024,11520,1118437376,1119092736,0,5584,18304,18192,6016,8416,12488,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:41.806341,1084227584,1017370378,30000,1,0,1,8129,1,6552,6832,4024,11520,1118437376,1119092736,0,5584,18304,18192,6016,8424,12496,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:42.304534,1084227584,1017370378,30000,1,0,1,8129,1,6552,6832,4024,11520,1118437376,1119092736,0,5584,18360,18192,5984,8416,12496,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:42.804701,1084227584,1017370378,30000,1,0,1,8129,1,6552,6856,4024,11520,1118437376,1119092736,0,5584,18368,18328,6016,8432,12496,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:43.303222,1084227584,1017370378,30000,1,0,1,8129,1,6552,6832,4024,11520,1118437376,1119092736,0,5584,18368,18360,6016,8416,12496,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2021-12-09 16:12:43.801265,1084227584,1017370378,30000,1,0,1,8129,1,6552,6832,4024,11520,1118437376,1119092736,0,5584,18392,18376,6016,8416,12496,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65512,0,0,1,0,1,1,Normal
