time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-13 15:07:43.263438,1084227584,1017370378,30000,1,0,1,8881,1,8856,9000,3448,11304,1118437376,1119092736,1,7080,17200,16096,8048,7632,12304,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15928,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:43.761544,1084227584,1017370378,30000,1,0,1,8889,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,17200,16072,8024,7632,12304,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:44.261569,1084227584,1017370378,30000,1,0,1,8894,1,8856,8968,3448,11304,1118437376,1119092736,1,7080,17200,16072,8024,7632,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:44.762314,1084227584,1017370378,30000,1,0,1,8900,1,8824,8968,3448,11296,1118437376,1119092736,1,7080,17176,16040,8024,7632,12304,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15968,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:45.258800,1084227584,1017370378,30000,1,0,1,8905,1,8856,8968,3448,11304,1118437376,1119092736,1,7080,17176,16040,8024,7632,12304,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15912,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:45.756827,1084227584,1017370378,30000,1,0,1,8914,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,17144,16016,8024,7632,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15968,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:46.255330,1084227584,1017370378,30000,1,0,1,8919,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,17144,16016,8024,7592,12304,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15944,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:46.753720,1084227584,1017370378,30000,1,0,1,8925,1,8824,8968,3416,11296,1118437376,1119092736,1,7080,17144,15984,8024,7576,12304,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:47.249844,1084227584,1017370378,30000,1,0,1,8930,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,17144,15984,8048,7560,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:47.746131,1084227584,1017370378,30000,1,0,1,8939,1,8856,8968,3448,11296,1118437376,1119092736,1,7080,17144,15960,8024,7568,12304,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:48.244381,1084227584,1017370378,30000,1,0,1,8944,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,17144,15960,8048,7560,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:48.743100,1084227584,1017370378,30000,1,0,1,8950,1,8856,8968,3448,11296,1118437376,1119092736,1,7080,17144,15936,8048,7560,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:49.241789,1084227584,1017370378,30000,1,0,1,8958,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,17144,15960,8048,7544,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15992,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:49.741706,1084227584,1017370378,30000,1,0,1,8963,1,8824,8968,3416,11304,1118437376,1119092736,1,7080,17056,15912,8024,7544,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15968,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:50.238153,1084227584,1017370378,30000,1,0,1,8969,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,17032,15912,8024,7520,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15944,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:50.736595,1084227584,1017370378,30000,1,0,1,8975,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,17032,15880,8024,7528,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15912,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:51.235117,1084227584,1017370378,30000,1,0,1,8980,1,8824,8968,3424,11304,1118437376,1119092736,1,7080,17032,15880,8024,7504,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:51.734094,1084227584,1017370378,30000,1,0,1,8988,1,8824,8968,3424,11296,1118437376,1119092736,1,7080,17000,15856,8024,7512,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15864,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:52.232083,1084227584,1017370378,30000,1,0,1,8994,1,8824,8968,3448,11304,1118437376,1119092736,1,7112,17000,15856,8024,7504,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1424,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:52.732824,1084227584,1017370378,30000,1,0,1,8999,1,8824,8968,3448,11296,1118437376,1119092736,1,7080,16984,15824,8024,7488,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1551,15824,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:53.230974,1084227584,1017370378,30000,1,0,1,9008,1,8824,8968,3448,11304,1118437376,1119092736,1,7080,16984,15824,8024,7488,12296,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1944,15800,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:53.731475,1084227584,1017370378,30000,1,0,1,9013,1,8824,8968,3392,11304,1118437376,1119092736,1,7080,16952,15824,8024,7464,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2676,15776,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:54.229864,1084227584,1017370378,30000,1,0,1,9019,1,8856,8936,3304,11304,1118437376,1119092736,1,7080,16952,15800,8024,7472,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3580,15792,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:54.729870,1084227584,1017370378,30000,1,0,1,9024,1,8824,8936,3304,11304,1118437376,1119092736,1,7080,16936,15800,8024,7448,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3984,15880,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:55.227871,1084227584,1017370378,30000,1,0,1,9033,1,8824,8936,3304,11304,1118437376,1119092736,1,7080,16928,15800,8024,7464,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3343,15912,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:55.726214,1084227584,1017370378,30000,1,0,1,9038,1,8824,8936,3336,11304,1118437376,1119092736,1,7080,16896,15800,8024,7456,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2201,15960,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:56.224679,1084227584,1017370378,30000,1,0,1,9044,1,8824,8968,3304,11304,1118437376,1119092736,1,7080,16928,15800,8024,7456,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:56.723529,1084227584,1017370378,30000,1,0,1,9049,1,8824,8968,3304,11304,1118437376,1119092736,1,7080,16920,15800,8024,7456,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:57.222137,1084227584,1017370378,30000,1,0,1,9055,1,8824,8968,3304,11528,1118437376,1119092736,1,7080,16896,15776,8032,7440,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16072,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:57.722234,1084227584,1017370378,30000,1,0,1,9055,1,8824,8968,3304,11528,1118437376,1119092736,1,7080,16872,15680,8024,7456,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:58.220228,1084227584,1017370378,30000,1,0,1,9055,1,8824,8936,3304,11528,1118437376,1119092736,1,7112,16872,15656,8024,7448,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:58.720273,1084227584,1017370378,30000,1,0,1,9055,1,8856,8944,3304,11528,1118437376,1119092736,1,7112,16840,15656,8024,7448,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16072,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:59.218366,1084227584,1017370378,30000,1,0,1,9055,1,8824,8944,3304,11528,1118437376,1119092736,1,7112,16840,15624,8024,7448,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16072,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:07:59.716764,1084227584,1017370378,30000,1,0,1,9055,1,8856,8936,3304,11528,1118437376,1119092736,1,7112,16816,15600,8024,7448,12288,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16120,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:00.215608,1084227584,1017370378,30000,1,0,1,9055,1,8856,8936,3304,11528,1118437376,1119092736,1,7112,16816,15600,8024,7448,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16112,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:00.714547,1084227584,1017370378,30000,1,0,1,9055,1,8824,8944,3304,11528,1118437376,1119092736,1,7112,16840,15600,8024,7448,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:01.214598,1084227584,1017370378,30000,1,0,1,9055,1,8856,8936,3304,11528,1118437376,1119092736,1,7112,16816,15568,8024,7448,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16072,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:01.713653,1084227584,1017370378,30000,1,0,1,9052,1,8824,8944,3304,11528,1118437376,1119092736,1,7112,16784,15576,8024,7472,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:02.213601,1084227584,1017370378,30000,1,0,1,9052,1,8824,8936,3304,11528,1118437376,1119092736,1,7080,16816,15544,8024,7472,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:02.711998,1084227584,1017370378,30000,1,0,1,9052,1,8824,8944,3304,11528,1118437376,1119092736,1,7112,16816,15544,8024,7488,12272,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:03.209990,1084227584,1017370378,30000,1,0,1,9052,1,8824,8936,3304,11528,1118437376,1119092736,1,7112,16784,15520,8024,7480,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:03.707981,1084227584,1017370378,30000,1,0,1,9052,1,8824,8944,3304,11528,1118437376,1119092736,1,7112,16784,15488,8024,7496,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:04.206533,1084227584,1017370378,30000,1,0,1,9057,1,8824,8936,3304,11296,1118437376,1119092736,1,7080,16816,15488,8024,7496,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:04.705261,1084227584,1017370378,30000,1,0,1,9060,1,8856,8944,3304,11528,1118437376,1119092736,1,7080,16784,15488,8024,7488,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:05.202161,1084227584,1017370378,30000,1,0,1,9057,1,8824,8936,3280,11528,1118437376,1119092736,1,7112,16728,15456,8024,7504,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16000,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:05.700248,1084227584,1017370378,30000,1,0,1,9057,1,8824,8944,3304,11528,1118437376,1119092736,1,7112,16704,15464,8024,7504,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15992,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:06.196509,1084227584,1017370378,30000,1,0,1,9063,1,8824,8944,3280,11304,1118437376,1119092736,1,7080,16704,15440,8024,7520,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15960,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:06.695219,1084227584,1017370378,30000,1,0,1,9069,1,8824,8944,3280,11304,1118437376,1119092736,1,7080,16704,15440,8024,7512,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15960,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:07.193992,1084227584,1017370378,30000,1,0,1,9071,1,8824,8944,3304,11528,1118437376,1119092736,1,7080,16672,15416,8024,7536,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15952,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:07.694562,1084227584,1017370378,30000,1,0,1,9071,1,8824,8936,3304,11528,1118437376,1119092736,1,7080,16672,15416,8024,7528,12256,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15928,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 15:08:08.191186,1084227584,1017370378,30000,1,0,1,9071,1,8824,8912,3296,11528,1118437376,1119092736,1,7112,16648,15416,8024,7528,12264,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65512,0,0,1,0,1,1,Normal
